Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"Education administrators","40,711","$2,923,000 ","$103,000 ","11,032","$2,269,000 ","$312,000 ","21,516","$2,946,000 ","$158,000 ","2,076",(B),(B),"6,087",(B),(B)
"First-line supervisors of non-retail sales workers","37,823","$3,475,000 ","$201,000 ","25,767","$3,252,000 ","$243,000 ","10,252",(B),(B),"1,245",(B),(B),559,(B),(B)
"General and operations managers","37,421","$3,614,000 ","$319,000 ","23,000","$3,348,000 ","$308,000 ","11,389","$4,558,000 ","$567,000 ","2,094",(B),(B),938,(B),(B)
"Marketing and sales managers","37,087","$4,075,000 ","$192,000 ","24,509","$3,935,000 ","$293,000 ","11,635",(B),(B),859,(B),(B),84,(B),(B)
Counselors,"35,923","$1,873,000 ","$73,000 ","15,851","$1,639,000 ","$98,000 ","18,148","$2,057,000 ","$121,000 ",975,(B),(B),949,(B),(B)
"Secretaries and administrative assistants","35,338","$1,643,000 ","$79,000 ","29,704","$1,597,000 ","$64,000 ","4,693",(B),(B),708,(B),(B),233,(B),(B)
"Personal financial advisors","34,420","$4,203,000 ","$429,000 ","22,012",(B),(B),"10,545","$5,398,000 ","$820,000 ","1,442",(B),(B),421,(B),(B)
"First-line supervisors of office and administrative support workers","33,875","$2,514,000 ","$156,000 ","25,215","$2,333,000 ","$174,000 ","7,069",(B),(B),"1,287",(B),(B),304,(B),(B)
"Retail salespersons","31,245","$2,235,000 ","$243,000 ","26,178","$2,237,000 ","$248,000 ","4,399",(B),(B),556,(B),(B),112,(B),(B)
"Social and community service managers","29,035","$2,625,000 ","$197,000 ","13,652","$2,252,000 ","$353,000 ","12,269","$2,991,000 ","$214,000 ","1,789",(B),(B),"1,325",(B),(B)
"Securities, commodities, and financial services sales agents","28,960","$5,108,000 ","$737,000 ","20,765",(B),(B),"6,910",(B),(B),"1,033",(B),(B),252,(B),(B)
"Human resources workers","26,178","$2,781,000 ","$258,000 ","18,559","$2,451,000 ","$267,000 ","6,073",(B),(B),"1,316",(B),(B),230,(B),(B)
"Police and sheriffs patrol officers","26,092","$2,929,000 ","$146,000 ","22,879","$2,814,000 ","$259,000 ","2,477",(B),(B),736,(B),(B),-,(B),(B)
"Customer service representatives","25,380","$1,818,000 ","$163,000 ","21,110","$1,711,000 ","$200,000 ","3,837",(B),(B),366,(B),(B),67,(B),(B)
"Real estate brokers and sales agents","24,430","$2,152,000 ","$250,000 ","18,821",(B),(B),"4,496",(B),(B),"1,113",(B),(B),-,(B),(B)
"Secondary school teachers","21,898","$2,121,000 ","$113,000 ","9,370",(B),(B),"10,914","$2,201,000 ","$191,000 ",909,(B),(B),705,(B),(B)
"Physicians and surgeons","21,493","$6,487,000 ","$544,000 ","1,029",(B),(B),718,(B),(B),"18,191","$6,536,000 ","$552,000 ","1,555",(B),(B)
"Paralegals and legal assistants","20,807","$2,180,000 ","$272,000 ","16,357",(B),(B),"2,543",(B),(B),"1,798",(B),(B),109,(B),(B)
"Computer and information systems managers","19,795","$3,730,000 ","$196,000 ","12,466","$3,588,000 ","$314,000 ","6,931",(B),(B),208,(B),(B),190,(B),(B)
"Sales representatives, services, all other","19,463","$3,458,000 ","$303,000 ","15,470","$3,470,000 ","$458,000 ","3,565",(B),(B),428,(B),(B),-,(B),(B)
"Computer systems analysts","19,224","$3,181,000 ","$229,000 ","12,877","$3,048,000 ","$258,000 ","5,567",(B),(B),419,(B),(B),361,(B),(B)
"Software developers, applications and systems","19,020","$3,687,000 ","$132,000 ","11,381","$3,668,000 ","$303,000 ","7,094",(B),(B),197,(B),(B),348,(B),(B)
"Medical and health services managers","18,931","$3,051,000 ","$223,000 ","8,431",(B),(B),"9,021",(B),(B),"1,029",(B),(B),450,(B),(B)
"Insurance sales agents","18,565","$2,922,000 ","$469,000 ","15,219",(B),(B),"2,478",(B),(B),763,(B),(B),105,(B),(B)
"Property, real estate, and community association managers","17,251","$3,032,000 ","$338,000 ","11,889","$2,912,000 ","$409,000 ","4,486",(B),(B),730,(B),(B),146,(B),(B)
"Registered nurses","16,157","$2,390,000 ","$162,000 ","12,449","$2,380,000 ","$171,000 ","3,108",(B),(B),504,(B),(B),96,(B),(B)
"Human resources managers","15,214","$3,209,000 ","$394,000 ","9,320",(B),(B),"4,726",(B),(B),"1,168",(B),(B),-,(B),(B)
Clergy,"15,213","$1,864,000 ","$171,000 ","2,344",(B),(B),"7,952",(B),(B),"3,115",(B),(B),"1,802",(B),(B)
"Food service managers","14,374",(B),(B),"11,551",(B),(B),"2,257",(B),(B),447,(B),(B),119,(B),(B)
"Office and administrative support workers, all other","13,786","$1,842,000 ","$147,000 ","10,323","$1,790,000 ","$203,000 ","3,171",(B),(B),225,(B),(B),67,(B),(B)
"Public relations specialists","13,384",(B),(B),"8,488",(B),(B),"2,999",(B),(B),"1,618",(B),(B),279,(B),(B)
"Credit counselors and loan officers","13,127","$2,990,000 ","$453,000 ","10,435",(B),(B),"2,257",(B),(B),352,(B),(B),83,(B),(B)
"Other teachers and instructors","13,093",(B),(B),"6,926",(B),(B),"4,244",(B),(B),879,(B),(B),"1,044",(B),(B)
"Claims adjusters, appraisers, examiners, and investigators","12,985","$2,480,000 ","$200,000 ","10,631","$2,292,000 ","$217,000 ","1,487",(B),(B),744,(B),(B),123,(B),(B)
"Market research analysts and marketing specialists","12,519","$3,372,000 ","$438,000 ","6,822",(B),(B),"5,265",(B),(B),204,(B),(B),228,(B),(B)
"Judges, magistrates, and other judicial workers","11,989","$4,355,000 ","$267,000 ","1,759",(B),(B),831,(B),(B),"8,959",(B),(B),440,(B),(B)
"Operations research analysts","11,737","$3,663,000 ","$329,000 ","5,175",(B),(B),"5,373",(B),(B),423,(B),(B),766,(B),(B)
"Miscellaneous legal support workers","11,520","$2,588,000 ","$416,000 ","7,533",(B),(B),"2,097",(B),(B),"1,635",(B),(B),255,(B),(B)
"Compliance officers","11,418","$2,905,000 ","$359,000 ","5,917",(B),(B),"3,787",(B),(B),"1,133",(B),(B),581,(B),(B)
"Probation officers and correctional treatment specialists","11,416","$2,142,000 ","$250,000 ","8,315",(B),(B),"2,650",(B),(B),237,(B),(B),214,(B),(B)
"Financial analysts","10,689",(B),(B),"5,386",(B),(B),"4,162",(B),(B),781,(B),(B),360,(B),(B)
"Business operations specialists, all other","10,543","$3,092,000 ","$375,000 ","6,409",(B),(B),"3,054",(B),(B),923,(B),(B),157,(B),(B)
Economists,"10,482","$4,903,000 ","$331,000 ","1,707",(B),(B),"4,347",(B),(B),522,(B),(B),"3,906",(B),(B)
