Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"Marketing and sales managers","18,097",(B),(B),"11,882","$3,781,000 ","$575,000 ","5,223",(B),(B),587,(B),(B),405,(B),(B)
"First-line supervisors of non-retail sales workers","17,230","$2,870,000 ","$337,000 ","12,961","$2,802,000 ","$314,000 ","3,345",(B),(B),616,(B),(B),308,(B),(B)
"Miscellaneous life, physical, and social science technicians","17,187","$1,859,000 ","$170,000 ","13,271","$1,838,000 ","$193,000 ","3,138",(B),(B),166,(B),(B),612,(B),(B)
"First-line supervisors of office and administrative support workers","16,999","$2,512,000 ","$283,000 ","11,861","$2,367,000 ","$296,000 ","3,327",(B),(B),549,(B),(B),"1,262",(B),(B)
"Physical therapists","15,817","$2,934,000 ","$168,000 ","1,842",(B),(B),"7,155",(B),(B),"2,880",(B),(B),"3,940",(B),(B)
"Chemists and materials scientists","15,484","$2,843,000 ","$214,000 ","10,100","$2,669,000 ","$176,000 ","3,583",(B),(B),118,(B),(B),"1,683",(B),(B)
"Environmental scientists and geoscientists","15,275","$2,796,000 ","$228,000 ","8,759",(B),(B),"4,986",(B),(B),366,(B),(B),"1,164",(B),(B)
"Physician assistants","15,138","$3,415,000 ","$293,000 ","2,770",(B),(B),"9,259",(B),(B),"2,956",(B),(B),153,(B),(B)
"Compliance officers","14,745","$2,752,000 ","$201,000 ","9,508",(B),(B),"4,185",(B),(B),698,(B),(B),354,(B),(B)
Chiropractors,"14,103",(B),(B),128,(B),(B),-,(B),(B),"9,103",(B),(B),"4,872",(B),(B)
"Financial managers","14,007","$3,454,000 ","$230,000 ","8,554",(B),(B),"4,762",(B),(B),237,(B),(B),454,(B),(B)
"Secretaries and administrative assistants","13,598","$1,462,000 ","$130,000 ","10,510","$1,404,000 ","$149,000 ","2,282",(B),(B),663,(B),(B),143,(B),(B)
"Conservation scientists and foresters","12,756","$2,303,000 ","$144,000 ","10,678","$2,286,000 ","$165,000 ","1,711",(B),(B),126,(B),(B),241,(B),(B)
Optometrists,"11,656","$4,138,000 ","$502,000 ",39,(B),(B),-,(B),(B),"8,712",(B),(B),"2,905",(B),(B)
"Agricultural and food scientists","11,558","$2,822,000 ","$303,000 ","6,161",(B),(B),"2,461",(B),(B),240,(B),(B),"2,696",(B),(B)
"Customer service representatives","10,568",(B),(B),"8,898",(B),(B),"1,462",(B),(B),146,(B),(B),62,(B),(B)
"First-line supervisors of production and operating workers","10,463","$2,854,000 ","$221,000 ","8,400",(B),(B),"1,625",(B),(B),144,(B),(B),294,(B),(B)
"Industrial production managers","10,370","$3,208,000 ","$393,000 ","7,392",(B),(B),"2,842",(B),(B),-,(B),(B),136,(B),(B)
"Computer and information systems managers","10,312","$3,561,000 ","$430,000 ","5,237",(B),(B),"4,333",(B),(B),265,(B),(B),477,(B),(B)
"Software developers, applications and systems","10,020","$3,482,000 ","$278,000 ","5,503",(B),(B),"3,562",(B),(B),52,(B),(B),903,(B),(B)
