Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"First-line supervisors of non-retail sales workers","14,106","$3,268,000 ","$467,000 ","10,121","$3,193,000 ","$409,000 ","3,284",(B),(B),651,(B),(B),50,(B),(B)
"Nurse anesthetists","13,009",(B),(B),"1,567",(B),(B),"9,939",(B),(B),"1,359",(B),(B),144,(B),(B)
Dentists,"13,000","$5,107,000 ","$655,000 ",237,(B),(B),147,(B),(B),"9,887",(B),(B),"2,729",(B),(B)
"Management analysts","12,777","$3,567,000 ","$340,000 ","7,054",(B),(B),"4,780",(B),(B),700,(B),(B),243,(B),(B)
"Marketing and sales managers","12,561","$3,615,000 ","$308,000 ","9,840",(B),(B),"2,373",(B),(B),290,(B),(B),58,(B),(B)
"Therapists, all other","12,309","$2,497,000 ","$202,000 ","7,031",(B),(B),"4,662",(B),(B),316,(B),(B),300,(B),(B)
"Computer programmers","12,305","$3,186,000 ","$230,000 ","9,019",(B),(B),"2,848",(B),(B),301,(B),(B),137,(B),(B)
"Dental hygienists","11,980","$2,488,000 ","$140,000 ","11,122","$2,476,000 ","$192,000 ",697,(B),(B),62,(B),(B),99,(B),(B)
"Computer and information systems managers","11,787","$3,463,000 ","$311,000 ","7,192",(B),(B),"4,262",(B),(B),313,(B),(B),20,(B),(B)
"Customer service representatives","11,770",(B),(B),"9,482",(B),(B),"2,156",(B),(B),63,(B),(B),69,(B),(B)
"Other healthcare practitioners and technical occupations","11,560",(B),(B),"7,179",(B),(B),"4,117",(B),(B),189,(B),(B),75,(B),(B)
"Medical scientists","11,453","$3,091,000 ","$374,000 ",939,(B),(B),"4,230",(B),(B),"1,276",(B),(B),"5,008",(B),(B)
"Computer systems analysts","11,189","$3,034,000 ","$252,000 ","7,030",(B),(B),"4,050",(B),(B),-,(B),(B),109,(B),(B)
"Engineers, all other","10,644","$3,284,000 ","$233,000 ","7,991",(B),(B),"2,516",(B),(B),109,(B),(B),28,(B),(B)
"Dietitians and nutritionists","10,077","$2,307,000 ","$126,000 ","5,928",(B),(B),"3,609",(B),(B),489,(B),(B),51,(B),(B)
