ST,OCC_CODE,OCC_TITLE,LOC_Q,A_MEAN
AL,25-1042,"Biological Science Teachers, Postsecondary",1.13,85770
AL,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.31,95900
AL,25-1052,"Chemistry Teachers, Postsecondary",0.98,77510
AL,25-1053,"Environmental Science Teachers, Postsecondary",0.83,75520
AL,25-1054,"Physics Teachers, Postsecondary",0.91,90610
AL,25-1063,"Economics Teachers, Postsecondary",0.77,114040
AL,25-1064,"Geography Teachers, Postsecondary",1.02,85070
AL,25-1065,"Political Science Teachers, Postsecondary",0.77,81020
AL,25-1066,"Psychology Teachers, Postsecondary",0.84,77640
AL,25-1067,"Sociology Teachers, Postsecondary",0.63,65510
AL,25-1072,"Nursing Instructors and Teachers, Postsecondary",1.82,59510
AL,25-1081,"Education Teachers, Postsecondary",0.99,74010
AL,25-1082,"Library Science Teachers, Postsecondary",2.84,64960
AL,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.74,72750
AL,25-1112,"Law Teachers, Postsecondary",0.8,86290
AL,25-1113,"Social Work Teachers, Postsecondary",0.6,72990
AL,25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.55,62860
AL,25-1122,"Communications Teachers, Postsecondary",0.85,72440
AL,25-1123,"English Language and Literature Teachers, Postsecondary",0.96,57850
AL,25-1124,"Foreign Language and Literature Teachers, Postsecondary",0.49,66850
AL,25-1125,"History Teachers, Postsecondary",1.09,66930
AL,25-1126,"Philosophy and Religion Teachers, Postsecondary",0.76,72650
AL,25-1191,"Graduate Teaching Assistants",0.04,18460
AL,25-1192,"Home Economics Teachers, Postsecondary",3.69,83720
AL,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.91,60730
AL,25-1194,"Vocational Education Teachers, Postsecondary",1.4,38600
AL,25-1199,"Postsecondary Teachers, All Other",1.21,0
AL,25-2011,"Preschool Teachers, Except Special Education",0.39,28400
AL,25-2012,"Kindergarten Teachers, Except Special Education",0.77,46700
AL,25-2021,"Elementary School Teachers, Except Special Education",1.26,49700
AL,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.14,48890
AL,25-2023,"Career/Technical Education Teachers, Middle School",0.56,50730
AL,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.97,49960
AL,25-2032,"Career/Technical Education Teachers, Secondary School",0.69,52460
AL,25-2051,"Special Education Teachers, Preschool",0.2,39980
AL,25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.54,50400
AL,25-2053,"Special Education Teachers, Middle School",0.45,48760
AL,25-2054,"Special Education Teachers, Secondary School",0.5,51150
AL,25-2059,"Special Education Teachers, All Other",0.08,55370
AL,25-3011,"Adult Basic and Secondary Education and Literacy Teachers and Instructors",0.72,38030
AL,25-3021,"Self-Enrichment Education Teachers",0.77,36800
AL,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",0.81,34910
AL,25-3098,"Substitute Teachers",1.73,17670
AL,25-4011,Archivists,0.72,58620
AL,25-4012,Curators,0.79,51290
AL,25-4013,"Museum Technicians and Conservators",0.35,37730
AL,25-4021,Librarians,1.13,52620
AL,25-4031,"Library Technicians",0.9,28640
AL,25-9011,"Audio-Visual and Multimedia Collections Specialists",0,25720
AL,25-9021,"Farm and Home Management Advisors",3.2,52470
AL,25-9031,"Instructional Coordinators",0.6,67830
AL,25-9041,"Teacher Assistants",0.47,20220
AL,25-9099,"Education, Training, and Library Workers, All Other",0.29,37110
AL,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",0.65,42760
AL,27-1011,"Art Directors",0.52,72450
AL,27-1012,"Craft Artists",1.49,28880
AL,27-1014,"Multimedia Artists and Animators",0.35,64060
AL,27-1019,"Artists and Related Workers, All Other",0.48,48240
AL,27-1021,"Commercial and Industrial Designers",0.52,68340
AL,27-1023,"Floral Designers",1.19,23700
AL,27-1024,"Graphic Designers",0.55,40510
AL,27-1025,"Interior Designers",0.49,63010
AL,27-1026,"Merchandise Displayers and Window Trimmers",1.48,26420
AL,27-2012,"Producers and Directors",0.38,45960
AL,27-2022,"Coaches and Scouts",0.98,37480
AL,27-2023,"Umpires, Referees, and Other Sports Officials",0.32,24560
AL,27-2041,"Music Directors and Composers",0.34,40890
AL,27-2042,"Musicians and Singers",0.3,0
AL,27-3011,"Radio and Television Announcers",0.8,32500
AL,27-3012,"Public Address System and Other Announcers",0.5,0
AL,27-3021,"Broadcast News Analysts",2.48,98550
AL,27-3022,"Reporters and Correspondents",0.91,39270
AL,27-3031,"Public Relations Specialists",0.66,50650
AL,27-3041,Editors,0.42,48460
AL,27-3042,"Technical Writers",0.97,62300
AL,27-3043,"Writers and Authors",0.32,55720
AL,27-3091,"Interpreters and Translators",0.24,46480
AL,27-4011,"Audio and Video Equipment Technicians",0.79,36950
AL,27-4012,"Broadcast Technicians",0.96,36380
AL,27-4014,"Sound Engineering Technicians",0.29,44080
AL,27-4021,Photographers,0.8,34940
AL,27-4031,"Camera Operators, Television, Video, and Motion Picture",0.96,40290
AL,27-4032,"Film and Video Editors",0.37,50660
AL,27-4099,"Media and Communication Equipment Workers, All Other",0.44,67240
AL,29-0000,"Healthcare Practitioners and Technical Occupations",1.12,68600
AL,29-1011,Chiropractors,0.52,96570
AL,29-1021,"Dentists, General",0.71,174870
AL,29-1022,"Oral and Maxillofacial Surgeons",0,143230
AL,29-1023,Orthodontists,1.64,185710
AL,29-1031,"Dietitians and Nutritionists",1.09,50610
AL,29-1041,Optometrists,0.84,95460
AL,29-1051,Pharmacists,1.32,121550
AL,29-1061,Anesthesiologists,1.78,0
AL,29-1062,"Family and General Practitioners",0.35,198890
AL,29-1063,"Internists, General",0.71,250340
AL,29-1064,"Obstetricians and Gynecologists",0.65,216100
AL,29-1065,"Pediatricians, General",1.18,190040
AL,29-1066,Psychiatrists,1.32,197410
AL,29-1067,Surgeons,0.38,240300
AL,29-1069,"Physicians and Surgeons, All Other",1.2,243590
AL,29-1071,"Physician Assistants",0.39,93240
AL,29-1081,Podiatrists,0.68,121970
AL,29-1122,"Occupational Therapists",0.75,79660
AL,29-1123,"Physical Therapists",0.72,87250
AL,29-1124,"Radiation Therapists",1.52,77630
AL,29-1125,"Recreational Therapists",0.62,43520
AL,29-1126,"Respiratory Therapists",1.32,46930
AL,29-1127,"Speech-Language Pathologists",0.81,67850
AL,29-1128,"Exercise Physiologists",0.62,43790
AL,29-1131,Veterinarians,0.96,78000
AL,29-1141,"Registered Nurses",1.17,56890
AL,29-1151,"Nurse Anesthetists",3,160030
AL,29-1171,"Nurse Practitioners",1.08,93820
AL,29-1181,Audiologists,0.9,60820
AL,29-2011,"Medical and Clinical Laboratory Technologists",1.07,53230
AL,29-2012,"Medical and Clinical Laboratory Technicians",0.95,35550
AL,29-2021,"Dental Hygienists",1.11,44400
AL,29-2031,"Cardiovascular Technologists and Technicians",0.93,45350
AL,29-2032,"Diagnostic Medical Sonographers",1.21,54470
AL,29-2033,"Nuclear Medicine Technologists",1.21,60900
AL,29-2034,"Radiologic Technologists",1.23,46970
AL,29-2035,"Magnetic Resonance Imaging Technologists",1.12,59850
AL,29-2041,"Emergency Medical Technicians and Paramedics",1.12,28910
AL,29-2051,"Dietetic Technicians",0.25,37780
AL,29-2052,"Pharmacy Technicians",1.42,27520
AL,29-2053,"Psychiatric Technicians",1.31,26780
AL,29-2054,"Respiratory Therapy Technicians",2.44,41790
AL,29-2055,"Surgical Technologists",1.23,35590
AL,29-2056,"Veterinary Technologists and Technicians",0.69,29180
AL,29-2057,"Ophthalmic Medical Technicians",0.71,30570
AL,29-2061,"Licensed Practical and Licensed Vocational Nurses",1.49,36100
AL,29-2071,"Medical Records and Health Information Technicians",1.02,33180
AL,29-2081,"Opticians, Dispensing",1.07,29990
AL,29-2091,"Orthotists and Prosthetists",1.21,74090
AL,29-2092,"Hearing Aid Specialists",0.39,43810
AL,29-2099,"Health Technologists and Technicians, All Other",0.45,40640
AL,29-9011,"Occupational Health and Safety Specialists",0.99,69420
AL,29-9012,"Occupational Health and Safety Technicians",0.49,46150
AL,29-9091,"Athletic Trainers",1.39,43240
AL,29-9099,"Healthcare Practitioners and Technical Workers, All Other",1.29,32330
AL,31-0000,"Healthcare Support Occupations",0.93,25480
AL,31-1011,"Home Health Aides",0.43,19720
AL,31-1013,"Psychiatric Aides",1.79,24330
AL,31-1014,"Nursing Assistants",1.17,22150
AL,31-1015,Orderlies,0.93,20880
AL,31-2011,"Occupational Therapy Assistants",1.04,56240
AL,31-2012,"Occupational Therapy Aides",1.21,25820
AL,31-2021,"Physical Therapist Assistants",1.68,52520
AL,31-2022,"Physical Therapist Aides",0.89,24580
AL,31-9011,"Massage Therapists",0.27,33520
AL,31-9091,"Dental Assistants",0.77,31240
AL,31-9092,"Medical Assistants",0.81,26740
AL,31-9093,"Medical Equipment Preparers",1.71,25800
AL,31-9094,"Medical Transcriptionists",1.07,34250
AL,31-9095,"Pharmacy Aides",1.04,22790
AL,31-9096,"Veterinary Assistants and Laboratory Animal Caretakers",1.12,23440
AL,31-9097,Phlebotomists,1.33,27440
AL,31-9099,"Healthcare Support Workers, All Other",0.83,29470
AL,33-0000,"Protective Service Occupations",0.93,36060
AL,33-1011,"First-Line Supervisors of Correctional Officers",0.69,55830
AL,33-1012,"First-Line Supervisors of Police and Detectives",0.87,63390
AL,33-1021,"First-Line Supervisors of Fire Fighting and Prevention Workers",1.34,60730
AL,33-1099,"First-Line Supervisors of Protective Service Workers, All Other",0.89,44110
AL,33-2011,Firefighters,1.14,39780
AL,33-2021,"Fire Inspectors and Investigators",0.78,54780
AL,33-2022,"Forest Fire Inspectors and Prevention Specialists",1.99,34990
AL,33-3011,Bailiffs,0.35,33470
AL,33-3012,"Correctional Officers and Jailers",0.92,35730
AL,33-3021,"Detectives and Criminal Investigators",0.83,60570
AL,33-3031,"Fish and Game Wardens",2.63,52780
AL,33-3041,"Parking Enforcement Workers",0.7,27520
AL,33-3051,"Police and Sheriff's Patrol Officers",1.17,42400
AL,33-9011,"Animal Control Workers",1.23,30110
AL,33-9021,"Private Detectives and Investigators",0.47,65300
AL,33-9032,"Security Guards",0.85,23610
AL,33-9091,"Crossing Guards",0.55,20260
AL,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0.6,18230
AL,33-9093,"Transportation Security Screeners",0.44,38810
AL,33-9099,"Protective Service Workers, All Other",0.73,28920
AL,35-0000,"Food Preparation and Serving Related Occupations",0.94,20120
AL,35-1011,"Chefs and Head Cooks",0.37,47530
AL,35-1012,"First-Line Supervisors of Food Preparation and Serving Workers",1.28,30650
AL,35-2011,"Cooks, Fast Food",1.2,17640
AL,35-2012,"Cooks, Institution and Cafeteria",1.75,19330
AL,35-2014,"Cooks, Restaurant",0.98,21070
AL,35-2015,"Cooks, Short Order",1.08,19790
AL,35-2019,"Cooks, All Other",1.89,30210
AL,35-2021,"Food Preparation Workers",0.85,19600
AL,35-3011,Bartenders,0.41,20540
AL,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",1.08,17740
AL,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0.64,18710
AL,35-3031,"Waiters and Waitresses",0.88,19380
AL,35-3041,"Food Servers, Nonrestaurant",0.47,20490
AL,35-9011,"Dining Room and Cafeteria Attendants and Bartender Helpers",0.47,18640
AL,35-9021,Dishwashers,0.72,18080
AL,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.8,17850
AL,35-9099,"Food Preparation and Serving Related Workers, All Other",1.02,18690
AL,37-0000,"Building and Grounds Cleaning and Maintenance Occupations",0.94,23460
AL,37-1011,"First-Line Supervisors of Housekeeping and Janitorial Workers",0.98,36220
AL,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1.35,40480
AL,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0.98,21480
AL,37-2012,"Maids and Housekeeping Cleaners",0.71,18790
AL,37-2021,"Pest Control Workers",2,29520
AL,37-3011,"Landscaping and Groundskeeping Workers",1,25030
AL,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0.69,32770
AL,37-3013,"Tree Trimmers and Pruners",0.61,36830
AL,37-3019,"Grounds Maintenance Workers, All Other",0.29,29880
AL,39-0000,"Personal Care and Service Occupations",0.77,22000
AL,39-1011,"Gaming Supervisors",0.31,42280
AL,39-1012,"Slot Supervisors",0.46,33560
AL,39-1021,"First-Line Supervisors of Personal Service Workers",1.08,33220
AL,39-2011,"Animal Trainers",0.41,30220
AL,39-2021,"Nonfarm Animal Caretakers",1.04,20270
AL,39-3012,"Gaming and Sports Book Writers and Runners",2.12,26480
AL,39-3021,"Motion Picture Projectionists",0.47,20550
AL,39-3091,"Amusement and Recreation Attendants",0.62,18170
AL,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",0.31,23260
AL,39-3099,"Entertainment Attendants and Related Workers, All Other",1.47,21540
AL,39-4011,Embalmers,1.52,42380
AL,39-4021,"Funeral Attendants",1.78,22100
AL,39-4031,"Morticians, Undertakers, and Funeral Directors",1.23,43580
AL,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",0.71,24910
AL,39-5092,"Manicurists and Pedicurists",0.42,22210
AL,39-5093,Shampooers,0.52,18030
AL,39-5094,"Skincare Specialists",0.54,35640
AL,39-6011,"Baggage Porters and Bellhops",0.54,19370
AL,39-6012,Concierges,0.1,24220
AL,39-7011,"Tour Guides and Escorts",0.59,23220
AL,39-9011,"Childcare Workers",1.08,18690
AL,39-9021,"Personal Care Aides",0.63,18150
AL,39-9031,"Fitness Trainers and Aerobics Instructors",0.64,36380
AL,39-9032,"Recreation Workers",0.86,23760
AL,39-9041,"Residential Advisors",1.22,22500
AL,39-9099,"Personal Care and Service Workers, All Other",0.25,25380
AL,41-0000,"Sales and Related Occupations",1.1,32830
AL,41-1011,"First-Line Supervisors of Retail Sales Workers",1.52,41070
AL,41-1012,"First-Line Supervisors of Non-Retail Sales Workers",1,78010
AL,41-2011,Cashiers,1.52,18760
AL,41-2021,"Counter and Rental Clerks",1.48,25620
AL,41-2022,"Parts Salespersons",1.16,30090
AL,41-2031,"Retail Salespersons",0.95,25990
AL,41-3011,"Advertising Sales Agents",0.73,43850
AL,41-3021,"Insurance Sales Agents",1.11,58220
AL,41-3031,"Securities, Commodities, and Financial Services Sales Agents",0.41,78300
AL,41-3041,"Travel Agents",0.36,37470
AL,41-3099,"Sales Representatives, Services, All Other",0.49,49320
AL,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.25,84440
AL,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1.22,62940
AL,41-9011,"Demonstrators and Product Promoters",0.13,27630
AL,41-9021,"Real Estate Brokers",0.41,68830
AL,41-9022,"Real Estate Sales Agents",0.53,61130
AL,41-9031,"Sales Engineers",0.28,94550
AL,41-9041,Telemarketers,0.87,23770
AL,41-9099,"Sales and Related Workers, All Other",0.53,30020
AL,43-0000,"Office and Administrative Support Occupations",0.95,32650
AL,43-1011,"First-Line Supervisors of Office and Administrative Support Workers",0.92,51560
AL,43-2011,"Switchboard Operators, Including Answering Service",1,24480
AL,43-2021,"Telephone Operators",0.57,0
AL,43-3011,"Bill and Account Collectors",1.14,31940
AL,43-3021,"Billing and Posting Clerks",1.08,31660
AL,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1.01,36400
AL,43-3051,"Payroll and Timekeeping Clerks",1.14,37940
AL,43-3061,"Procurement Clerks",0.77,37560
AL,43-3071,Tellers,1.32,26670
AL,43-3099,"Financial Clerks, All Other",0.25,40930
AL,43-4011,"Brokerage Clerks",0.75,47150
AL,43-4021,"Correspondence Clerks",0.51,31140
AL,43-4031,"Court, Municipal, and License Clerks",1.42,32170
AL,43-4041,"Credit Authorizers, Checkers, and Clerks",0.7,34140
AL,43-4051,"Customer Service Representatives",0.87,31190
AL,43-4061,"Eligibility Interviewers, Government Programs",1.77,40900
AL,43-4071,"File Clerks",0.44,25330
AL,43-4081,"Hotel, Motel, and Resort Desk Clerks",1.21,19300
AL,43-4111,"Interviewers, Except Eligibility and Loan",1.18,28460
AL,43-4121,"Library Assistants, Clerical",0.88,22300
AL,43-4131,"Loan Interviewers and Clerks",1.03,32530
AL,43-4141,"New Accounts Clerks",0.68,33120
AL,43-4151,"Order Clerks",0.61,30200
AL,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",0.95,35560
AL,43-4171,"Receptionists and Information Clerks",1.01,24670
AL,43-4181,"Reservation and Transportation Ticket Agents and Travel Clerks",0.31,36070
AL,43-4199,"Information and Record Clerks, All Other",0.54,41420
AL,43-5011,"Cargo and Freight Agents",0.61,48380
AL,43-5021,"Couriers and Messengers",1.68,25370
AL,43-5031,"Police, Fire, and Ambulance Dispatchers",1.78,32680
AL,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",0.84,41990
AL,43-5041,"Meter Readers, Utilities",1.43,35030
AL,43-5051,"Postal Service Clerks",1.19,47830
AL,43-5052,"Postal Service Mail Carriers",1.19,50540
AL,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.71,49440
AL,43-5061,"Production, Planning, and Expediting Clerks",0.6,47910
AL,43-5071,"Shipping, Receiving, and Traffic Clerks",0.91,30360
AL,43-5081,"Stock Clerks and Order Fillers",0.86,24130
